Nombre,Marca,Tipo de aroma,Intensidad,Ocasión,Notas,Precio (€),Imagen (URL),Dupe barato,Enlace dupe,Género,Enlace original
Dior Sauvage,Dior,Amaderado,Intensa,Noche/Citas,"Pimienta, Bergamota, Ámbar",110,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/Y0685240_F068524009_background_ZHC.png,Maison Alhambra Salvo,https://amzn.to/3W3sYf3,Hombre,https://amzn.to/4b1C8vC
Bleu de Chanel,Chanel,Amaderado,Moderada,Oficina/Diario,"Cítricos, Cedro, Incienso",120,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/bleu-de-chanel-parfum-spray-3-4fl-oz--packshot-default-107180-9564892200990.png,Maison Alhambra Blue De Chance,https://amzn.to/3K8qJbH,Hombre,https://amzn.to/3K5a3uT
Y Eau de Parfum,Yves Saint Laurent,Fougère,Intensa,Noche/Salidas,"Jengibre, Salvia, Bergamota",100,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/y-edp-1644222031.png,Lattafa Fakhar Black,https://amzn.to/4d41a6w,Hombre,https://amzn.to/3QAbGtl
Acqua di Gio,Giorgio Armani,Cítrico,Sutil,Diario/Verano,"Notas marinas, Bergamota, Neroli",80,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/acqua-di-gio-edp-1642410382.png,Maison Alhambra Porto Neroli,https://amzn.to/3QAbO3a,Hombre,https://amzn.to/3y4g1aE
Aventus,Creed,Chipre,Intensa,Eventos/Especial,"Piña, Bergamota, Manzana, Musgo",300,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/aventus2.png,Armaf Club de Nuit Intense Man,https://amzn.to/4aXmS4v,Hombre,https://amzn.to/4aZuSjM
Eros,Versace,Aromático,Intensa,Noche/Club,"Menta, Manzana verde, Vainilla",75,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/90_R740111-R200MLS_RNUL_20_ErosEDP200ml-Eros-Versace-online-store_0_3.jpg,Lattafa Ramz Silver,https://amzn.to/4aZuZhE,Hombre,https://amzn.to/3y4gjfE
One Million,Paco Rabanne,Amaderado,Intensa,Noche/Citas,"Pomelo, Menta, Cuero",90,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/428.jpg,Lattafa Ramz Silver,https://amzn.to/4aZuZhE,Hombre,https://amzn.to/4aXmXyP
Invictus,Paco Rabanne,Aromático,Moderada,Diario/Verano,"Notas marinas, Pomelo, Hoja de laurel",70,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.18471.jpg,Maison Alhambra Victorioso,https://amzn.to/4d2uE0v,Hombre,https://amzn.to/4aZnfLq
Code,Giorgio Armani,Oriental,Moderada,Noche/Citas,"Bergamota, Limón, Anís, Haba Tonka",95,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.75126.jpg,Maison Alhambra Code Uno,https://amzn.to/3VZrwP3,Hombre,https://amzn.to/3wWJ5aH
La Nuit de l'Homme,Yves Saint Laurent,Especiado,Intensa,Noche/Citas,"Cardamomo, Lavanda, Cedro",98,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.5521.jpg,Lattafa Oud For Glory,https://amzn.to/4aWzV58,Hombre,https://amzn.to/3K7sNfF
Spicebomb Extreme,Viktor & Rolf,Especiado,Intensa,Noche/Invierno,"Tabaco, Vainilla, Comino",120,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.30499.jpg,Maison Alhambra Tobacco Touch,https://amzn.to/4aZv8k5,Hombre,https://amzn.to/4d41pBw
Chanel No. 5,Chanel,Floral,Sutil,Oficina/Diario,"Aldehídos, Jazmín, Rosa",130,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.28711.jpg,Divain-106,https://divainparfums.es/products/divain-106-perfume-equivalente-a-n-5-de-chanel,Mujer,https://amzn.to/4aYh4X5
Angel,Thierry Mugler,Gourmand,Intensa,Noche/Frio,"Bergamota, Pachulí, Chocolate",105,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.704.jpg,Divain-065,https://divainparfums.es/products/divain-065-perfume-equivalente-a-angel-de-thierry-mugler,Mujer,https://amzn.to/4b1D3pX
Black Opium,Yves Saint Laurent,Floral,Intensa,Noche/Citas,"Café, Vainilla, Pachulí",95,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/187.jpg,Maison Alhambra Opera Noir,https://amzn.to/4aZvj9g,Mujer,https://amzn.to/4aXmZBa
Miss Dior,Dior,Floral,Moderada,Diario/Primavera,"Rosa, Jazmín, Pachulí",100,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.68905.jpg,Divain-582,https://divainparfums.es/products/divain-582-perfume-equivalente-a-miss-dior-de-dior,Mujer,https://amzn.to/4d41sZz
Coco Mademoiselle,Chanel,Floral,Intensa,Noche/Citas,"Naranja, Rosa, Pachulí",120,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.48310.jpg,Maison Alhambra Coco Fleur,https://amzn.to/4aYhizL,Mujer,https://amzn.to/3wY7q0T
La Vie Est Belle,Lancôme,Floral,Intensa,Diario/Otoño,"Iris, Pachulí, Vainilla",90,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.14982.jpg,Maison Alhambra La Vita Bella,https://amzn.to/3wY7tN1,Mujer,https://amzn.to/4aYhn4b
Good Girl,Carolina Herrera,Floral,Intensa,Noche/Citas,"Almendra, Jazmín, Cacao",95,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.39681.jpg,Maison Alhambra Miss Alhambra,https://amzn.to/3y4gsLI,Mujer,https://amzn.to/4aZvrvJ
My Way,Giorgio Armani,Floral,Moderada,Diario/Verano,"Bergamota, Nardos, Vainilla",90,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.62036.jpg,Zara Sublime Epoque,https://www.zara.com/es/es/sublime-epoque-90-ml-p20210332.html,Mujer,https://amzn.to/3wX8k2U
Libre,Yves Saint Laurent,Floral,Moderada,Oficina/Otoño,"Lavanda, Jazmín, Azahar",98,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.56077.jpg,Zara Golden Decade,https://www.zara.com/es/es/golden-decade-80-ml-p20210330.html,Mujer,https://amzn.to/3K7sYq9
Sauvage Elixir,Dior,Amaderado,Intensa,Noche/Invierno,"Canela, Nuez moscada, Cardamomo",140,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.68415.jpg,Lattafa Asad,https://amzn.to/4aWAdU9,Hombre,https://amzn.to/3K5aipM
Terre d'Hermès,Hermès,Amaderado,Moderada,Oficina/Diario,"Naranja, Pomelo, Pimienta",100,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.17.jpg,Maison Alhambra The Artist No. 2,https://amzn.to/3wY7F81,Hombre,https://amzn.to/4d4h2dI
Dior Homme Intense,Dior,Floral,Intensa,Noche/Citas,"Iris, Vainilla, Cedro",115,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.13016.jpg,Maison Alhambra Woody Oud,https://amzn.to/4d11q9t,Hombre,https://amzn.to/4b1DBp7
The One for Men,Dolce & Gabbana,Oriental,Intensa,Noche/Citas,"Pomelo, Jengibre, Tabaco",90,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.31909.jpg,Maison Alhambra The Tux,https://amzn.to/3wX8vUb,Hombre,https://amzn.to/3y4gN9C
Black Orchid,Tom Ford,Oriental,Intensa,Noche/Invierno,"Trufa, Gardenia, Orquídea",140,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.1018.jpg,Maison Alhambra Orchid Noir,https://amzn.to/3wWJdjp,Unisex,https://amzn.to/4aZvvds
By the Fireplace,Maison Margiela,Amaderado,Intensa,Noche/Invierno,"Clavo, Castaña, Vainilla",115,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.31623.jpg,Maison Alhambra Kismet Angel,https://amzn.to/4aYhB8g,Unisex,https://amzn.to/4aYhCqF
Tobacco Vanille,Tom Ford,Oriental,Intensa,Noche/Invierno,"Tabaco, Vainilla, Cacao",200,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/TomFordTobaccoVanille_0d35f2f7-0fcb-48f7-aa7c-82df5686771e.jpg,Maison Alhambra Tobacco Touch,https://amzn.to/4aZv8k5,Unisex,https://amzn.to/4aWzP9v
Oud Wood,Tom Ford,Amaderado,Intensa,Noche/Otoño,"Palo de rosa, Cardamomo, Oud",180,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.89988.jpg,Maison Alhambra Woody Oud,https://amzn.to/4d11q9t,Unisex,https://amzn.to/4b1DImk
Light Blue,Dolce & Gabbana,Cítrico,Moderada,Diario/Verano,"Limón, Bambú, Manzana",78,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/208671-2.jpg,Maison Alhambra Versencia Oro,https://amzn.to/3wX8F9s,Mujer,https://amzn.to/4aZvB9z
J'adore,Dior,Floral,Moderada,Diario/Primavera,"Ylang-Ylang, Jazmín, Rosa",110,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/375x500.10371.jpg,Zara Rose,https://www.zara.com/es/es/rose-90-ml-p20210243.html,Mujer,https://amzn.to/3K7tl9S
Flowerbomb,Viktor & Rolf,Floral,Intensa,Noche/Otoño,"Té, Bergamota, Jazmín",105,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/o.1460.jpg,Divain-071,https://divainparfums.es/products/divain-071-perfume-equivalente-a-flowerbomb-de-viktor-rolf,Mujer,https://amzn.to/4d41E0z
Si,Giorgio Armani,Chipre,Moderada,Oficina/Diario,"Cassis, Fresia, Rosa",100,https://raw.githubusercontent.com/cryptpoza/Your-Parfum/main/assets/armani-si-edp.jpg,Divain-136,https://divainparfums.es/products/divain-136-perfume-equivalente-a-si-de-giorgio-armani,Mujer,https://amzn.to/3K5an7N
